,open,high,low,close,adjclose,volume,ticker
2000-07-25,17.484375,17.75,16.75,17.5,13.911548614501953,126200,GGAL
2000-07-26,17.25,17.5625,17.1875,17.5,13.911548614501953,28900,GGAL
2000-07-27,17.5,17.625,17.375,17.5,13.911548614501953,61200,GGAL
2000-07-28,17.5625,17.5625,17.125,17.375,13.812177658081055,146100,GGAL
2000-07-31,17.5,17.6875,16.875,17.6875,14.060603141784668,178400,GGAL
2000-08-01,17.5625,18.4375,17.25,17.5,13.911548614501953,87400,GGAL
2000-08-02,17.75,18.0,17.6875,17.6875,14.060603141784668,34800,GGAL
2000-08-03,17.625,17.671875,17.25,17.375,13.812177658081055,60800,GGAL
2000-08-04,17.375,17.5,17.25,17.25,13.712815284729004,48600,GGAL
2000-08-07,17.25,17.4375,17.0625,17.25,13.712815284729004,52500,GGAL
2000-08-08,17.125,17.5625,17.125,17.25,13.712815284729004,107500,GGAL
2000-08-09,17.3125,17.4375,16.75,16.9375,13.46439266204834,147500,GGAL
2000-08-10,16.8125,17.125,16.375,16.375,13.017237663269043,184700,GGAL
2000-08-11,16.5625,16.5625,15.75,16.0,12.719131469726562,312500,GGAL
2000-08-14,15.9375,16.0,15.5625,15.5625,12.371342658996582,117300,GGAL
2000-08-15,15.5625,15.5625,15.1875,15.375,12.222291946411133,242800,GGAL
2000-08-16,15.25,15.25,13.625,14.375,11.427345275878906,288500,GGAL
2000-08-17,14.5,15.875,14.5,15.5,12.321660041809082,488900,GGAL
2000-08-18,15.4375,15.4375,15.0625,15.25,12.122922897338867,183400,GGAL
2000-08-21,15.25,15.25,15.0,15.0,11.924186706542969,11600,GGAL
2000-08-22,15.0,15.8125,14.9375,15.6875,12.470710754394531,129700,GGAL
2000-08-23,15.5625,16.25,15.25,16.0,12.719131469726562,319200,GGAL
2000-08-24,15.9375,16.375,15.8125,16.375,13.017237663269043,214800,GGAL
2000-08-25,16.375,16.5625,16.25,16.5,13.116605758666992,99700,GGAL
2000-08-28,16.375,16.5,16.3125,16.5,13.116605758666992,46600,GGAL
2000-08-29,16.375,16.625,16.25,16.5,13.116605758666992,338200,GGAL
2000-08-30,16.5,16.75,16.375,16.75,13.315340995788574,100800,GGAL
2000-08-31,16.75,18.0,16.5625,17.625,14.010916709899902,433900,GGAL
2000-09-01,17.75,18.125,17.6875,17.6875,14.060603141784668,217800,GGAL
2000-09-05,17.875,17.875,17.4375,17.4375,13.86186695098877,43800,GGAL
2000-09-06,17.5,17.625,17.140625,17.3125,13.762499809265137,50900,GGAL
2000-09-07,17.5,17.75,16.6875,16.75,13.315340995788574,293100,GGAL
2000-09-08,16.6875,16.8125,16.6875,16.8125,13.365025520324707,4100,GGAL
2000-09-11,16.75,16.8125,16.625,16.625,13.215973854064941,22300,GGAL
2000-09-12,16.5,16.75,16.5,16.625,13.215973854064941,51800,GGAL
2000-09-13,16.5625,16.625,16.125,16.5,13.116605758666992,37700,GGAL
2000-09-14,16.625,16.625,16.3125,16.3125,12.967552185058594,32600,GGAL
2000-09-15,16.5,16.5625,16.5,16.5,13.116605758666992,84200,GGAL
2000-09-18,16.375,16.5,16.25,16.25,12.917868614196777,62700,GGAL
2000-09-19,16.25,16.25,15.5,15.9375,12.66944694519043,191200,GGAL
2000-09-20,15.8125,15.8125,15.125,15.25,12.122922897338867,214200,GGAL
2000-09-21,15.25,15.4375,15.25,15.375,12.222291946411133,365800,GGAL
2000-09-22,15.1875,15.5,14.875,15.0625,11.973869323730469,373000,GGAL
2000-09-25,15.3125,15.375,15.125,15.375,12.222291946411133,87500,GGAL
2000-09-26,15.0625,15.625,15.0625,15.3125,12.172607421875,111300,GGAL
2000-09-27,15.25,15.265625,15.0,15.0,11.924186706542969,112500,GGAL
2000-09-28,15.0,15.25,14.875,15.1875,12.073238372802734,69900,GGAL
2000-09-29,15.3125,15.3125,15.0,15.0,11.924186706542969,38300,GGAL
2000-10-02,15.375,15.375,14.8125,14.875,11.824817657470703,21800,GGAL
2000-10-03,15.25,15.25,14.625,14.6875,11.675765991210938,213600,GGAL
2000-10-04,14.8125,14.875,14.625,14.75,11.725449562072754,67500,GGAL
2000-10-05,14.6875,14.75,14.5,14.6875,11.675765991210938,188800,GGAL
